Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Quercus gambelii	19.83253	0.910074437466196	37	1449	0.48	1.06	5.4349	0.05788	84.6	0.6	1
Quercus gambelii	28.80509	1.79064955011233	37	1975	0.48	1.09	4.6046	0.0449	84.6	0.6	1
Quercus gambelii	29.2234	1.57754993751563	37	1886	0.54	1.91	10.8376	0.0544	84.6	0.6	1
Quercus gambelii	33.09539	1.69695899800452	37	2001	0.54	1.69	8.2133	0.0484	84.6	0.6	1
Quercus gambelii	29.59349	1.47499316388643	37	1845	0.38	2.06	15.8585	0.1133	84.6	0.6	1
Quercus gambelii	35.56352	1.61999875935178	37	2007	0.39	2.16	13.96399	0.0925	84.6	0.6	1
Quercus gambelii	29.72648	1.52681331591381	37	1870	0.23	2.16	23.5382	0.1506	84.6	0.6	1
Quercus gambelii	29.48606	1.58944284179159	37	1894	0.48	2.53	14.9523	0.0843	84.6	0.6	1
Quercus gambelii	21.28655	1.12103487749913	37	1561	0.19	1.33	21.689	0.178	84.6	0.6	1
Quercus gambelii	19.02524	0.720783754459904	37	1350	0.16	1.41	17.0499	0.1427	84.6	0.6	1
Quercus gambelii	29.29374	1.47404493636644	37	1841	0.8	2.41	12.4729	0.0662	84.6	0.6	1
Quercus gambelii	29.16772	1.25453399205875	37	1741	0.8	2.16	10.7134	0.0528	84.6	0.6	1

