Tair	Tleaf	VPA	CO2	PAR	WS	Rabs	Psoil	Area	LaBa	Vcmax	Jmax	Ci	A	E	Pleaf	Ktree	Etree
32.0	33.79	0.969742489314207	40	1600	3	400	0.43	1	1183.6	121.8	165.0	30	15.19	8.61	2.16	975.6	660.4408533096
28.2	29.25	1.01175203948032	40	1600	3	400	0.25	1	1183.6	121.8	165.0	30	15.75	8.68	1.88	975.6	665.37199627272
31.2	32.58	0.566413328347612	40	1600	3	400	0.43	1	1183.6	121.8	165.0	30	17.60	10.78	1.93	975.6	826.816325686561
29.7	31.19	1.1947040270397	40	1600	3	400	0.35	1	1183.6	121.8	165.0	30	16.73	8.25	1.65	975.6	632.43900873648
31.9	33.48	1.28891709043825	40	1600	3	400	0.33	1	1183.6	121.8	165.0	30	14.94	7.72	1.41	975.6	591.78216409488
23.4	26.00	1.57181215478792	40	1600	3	400	0.24	1	1183.6	121.8	165.0	30	15.60	4.39	0.91	975.6	336.59701294824
30.5	32.74	1.24271736806511	40	1600	3	400	0.39	1	1183.6	121.8	165.0	30	14.99	7.33	1.44	975.6	561.80979382968
24.2	27.72	1.22116004044535	40	1600	3	400	0.28	1	1183.6	78.1	124.9	30	13.38	4.32	0.91	975.6	331.43756774832
24.9	27.28	0.809673717251167	40	1600	3	400	0.41	1	1183.6	78.1	124.9	30	13.14	5.04	0.95	975.6	386.61685061472
27.8	33.41	0.882844092807753	40	1600	3	400	0.46	1	1183.6	78.1	124.9	30	13.47	6.27	1.14	975.6	480.94329442896
26.9	29.15	1.22087379243302	40	1600	3	400	0.41	1	1183.6	78.1	124.9	30	12.02	5.91	1.10	975.6	453.06749544408
30.0	31.48	0.998048548038268	40	1600	3	400	0.43	1	1183.6	56.8	113	30	9.29	5.26	0.98	975.6	403.43994519048
28.6	31.27	1.12066299768912	40	1600	3	400	0.53	1	1183.6	56.8	113	30	8.87	5.71	1.34	975.6	437.646638064239
32.0	35.09	0.969742489314207	40	1600	3	400	0.30	1	1183.6	121.8	165.0	30	14.34	9.61	1.90	975.6	737.31359751192
28.2	29.90	1.01175203948032	40	1600	3	400	0.29	1	1183.6	121.8	165.0	30	16.04	9.20	1.71	975.6	705.86348797008
31.2	33.73	0.566413328347612	40	1600	3	400	0.36	1	1183.6	121.8	165.0	30	15.97	9.39	1.85	975.6	720.3915698364
29.7	33.85	1.1947040270397	40	1600	3	400	0.73	1	1183.6	121.8	165.0	30	7.45	2.50	1.73	975.6	192.04408342944
31.9	36.97	1.28891709043825	40	1600	3	400	1.03	1	1183.6	121.8	165.0	30	3.73	1.02	1.80	975.6	78.5882194811999
23.4	26.00	1.57181215478792	40	1600	3	400	0.30	1	1183.6	121.8	165.0	30	12.33	2.63	1.34	975.6	201.44034389952
30.5	34.43	1.24271736806511	40	1600	3	400	0.68	1	1183.6	121.8	165.0	30	10.37	3.33	1.94	975.6	255.2183802432
24.2	29.29	1.22116004044535	40	1600	3	400	1.19	1	1183.6	78.1	124.9	30	5.16	0.85	1.78	975.6	64.9817704800001
24.9	28.16	0.809673717251167	40	1600	3	400	1.20	1	1183.6	78.1	124.9	30	4.43	1.03	2.09	975.6	79.06178683656
27.8	33.88	0.882844092807753	40	1600	3	400	0.96	1	1183.6	78.1	124.9	30	6.04	1.97	1.75	975.6	151.00450657776
26.9	28.58	1.22087379243302	40	1600	3	400	0.46	1	1183.6	78.1	124.9	30	10.23	4.55	1.54	975.6	349.24348683576
30.0	31.29	0.998048548038268	40	1600	3	400	0.34	1	1183.6	56.8	113	30	8.39	4.52	0.99	975.6	346.57821800712
28.6	31.01	1.12066299768912	40	1600	3	400	0.44	1	1183.6	56.8	113	30	8.34	5.06	0.86	975.6	388.19940950736
32.0	34.53	0.969742489314207	40	1600	3	400	0.35	1	1183.6	121.8	165.0	30	14.99	10.21	1.90	975.6	783.19786031784
28.2	30.31	1.01175203948032	40	1600	3	400	0.34	1	1183.6	121.8	165.0	30	18.09	9.34	1.79	975.6	716.19927733728
31.2	34.32	0.566413328347612	40	1600	3	400	0.40	1	1183.6	121.8	165.0	30	17.08	9.64	2.03	975.6	739.310724377279
29.7	34.06	1.1947040270397	40	1600	3	400	0.64	1	1183.6	121.8	165.0	30	10.10	3.41	1.80	975.6	261.80254772496
31.9	36.30	1.28891709043825	40	1600	3	400	1.03	1	1183.6	121.8	165.0	30	3.34	1.15	1.83	975.6	88.2069276290399
23.4	26.00	1.57181215478792	40	1600	3	400	0.33	1	1183.6	121.8	165.0	30	14.35	3.46	1.03	975.6	265.2563285064
30.5	33.49	1.24271736806511	40	1600	3	400	0.44	1	1183.6	121.8	165.0	30	13.82	5.64	1.56	975.6	432.60804860328
24.2	28.46	1.22116004044535	40	1600	3	400	0.74	1	1183.6	78.1	124.9	30	9.05	1.73	1.68	975.6	132.86195034552
24.9	29.32	0.809673717251167	40	1600	3	400	0.78	1	1183.6	78.1	124.9	30	6.11	1.73	1.88	975.6	133.02744390144
27.8	34.43	0.882844092807753	40	1600	3	400	0.83	1	1183.6	78.1	124.9	30	6.92	2.17	1.78	975.6	166.7872685952
26.9	31.48	1.22087379243302	40	1600	3	400	0.92	1	1183.6	78.1	124.9	30	6.53	2.23	1.83	975.6	171.05850603072
30.0	32.84	0.998048548038268	40	1600	3	400	1.15	1	1183.6	56.8	113	30	5.41	1.84	1.63	975.6	141.28455802032
28.6	30.95	1.12066299768912	40	1600	3	400	1.10	1	1183.6	56.8	113	30	6.07	2.42	1.93	975.6	185.89960867104
32.0	35.10	0.969742489314207	40	1600	3	400	0.28	1	1183.6	121.8	165.0	30	18.98	12.39	1.73	975.6	950.03893951164
28.2	29.70	1.01175203948032	40	1600	3	400	0.28	1	1183.6	121.8	165.0	30	18.05	9.29	1.66	975.6	712.392618762001
31.2	34.90	0.566413328347612	40	1600	3	400	0.49	1	1183.6	121.8	165.0	30	12.79	6.37	1.70	975.6	488.66065143984
29.7	34.56	1.1947040270397	40	1600	3	400	1.16	1	1183.6	121.8	165.0	30	3.21	1.22	1.65	975.6	93.3658551223201
31.9	37.42	1.28891709043825	40	1600	3	400	1.60	1	1183.6	121.8	165.0	30	1.61	0.69	2.13	975.6	52.55404362648
23.4	26.00	1.57181215478792	40	1600	3	400	0.70	1	1183.6	121.8	165.0	30	9.33	1.57	1.87	975.6	120.76308864576
30.5	34.57	1.24271736806511	40	1600	3	400	0.40	1	1183.6	121.8	165.0	30	11.84	4.08	1.70	975.6	313.12918134432
24.2	29.41	1.22116004044535	40	1600	3	400	0.92	1	1183.6	78.1	124.9	30	6.43	1.05	1.83	975.6	80.7338322806399
24.9	30.03	0.809673717251167	40	1600	3	400	1.23	1	1183.6	78.1	124.9	30	2.21	0.61	2.20	975.6	46.5465651235201
27.8	33.30	0.882844092807753	40	1600	3	400	1.50	1	1183.6	78.1	124.9	30	1.63	0.56	2.18	975.6	42.8990896223999
26.9	32.78	1.22087379243302	40	1600	3	400	1.70	1	1183.6	78.1	124.9	30	1.31	0.53	2.18	975.6	40.75553699712
30.0	34.77	0.998048548038268	40	1600	3	400	2.20	1	1183.6	56.8	113	30	1.41	0.53	2.72	975.6	40.5527204142719
28.6	35.51	1.12066299768912	40	1600	3	400	1.30	1	1183.6	56.8	113	30	2.37	0.77	2.00	975.6	59.23379509344

