Tair	Tleaf	VPA	CO2	PAR	WS	Rabs	Psoil	Area	LaBa	Vcmax	Jmax	Ci	A	E	Pleaf	Ktree	Etree
29.7406	29.65085	3.39501202272743	79.9825	1100.0625	3	382.35131	0.851	0.000158733594	5663	54.9466000838	107.505245377333	539.291836415489	24.1493662228466	0.0179	1.055	1292.925	405.963214062929
30.852975	30.71275	3.39501202272743	79.987225	1100.025	3	382.367905827872	0.723	0.0001083790625	5663	69.8403720418334	128.279780175	556.762634167338	22.6475055202469	0.0159	0.855	2885.561	528.14629209401
31.3021	31.25815	3.39501202272743	79.992775	1099.985	3	382.384533876886	0.657	0.0001505806625	2648	59.71890644295	104.972743272067	441.589825893999	10.2562071771077	0.0077	0.886	560.264	184.087382402106
31.66985	31.05885	3.39501202272743	79.990575	1100.0625	3	382.383737254322	0.765	0.000147337435	5663	64.6177687721143	118.730428374071	587.060808515433	26.2790482114651	0.0144	0.83	2928.476	351.845408466626
32.58975	33.131075	3.39501202272743	79.9856	1100.025	3	382.370483143209	0.455	6.95E-05	2648	50.968269771	68.3763893113	317.916687144641	14.150229587711	0.0075	0.996	779.371	388.489208633094
32.653	33.226475	3.39501202272743	79.993275	1100	3	382.362036971521	0.637	8.26E-05	5663	96.578299121	202.986721385	436.560036409338	11.3710302154283	0.0119	0.83	900.488	518.64406779661
32.051375	31.600275	3.39501202272743	59.982675	1099.995	3	382.358531756539	0.851	0.000158733594	5663	54.9466000838	107.505245377333	440.185468151438	18.812406497381	0.0196	-9999	1292.925	444.518379644324
32.1111	32.230575	3.39501202272743	59.9908	1100.0175	3	382.337057370077	0.723	0.0001083790625	5663	69.8403720418334	128.279780175	380.388738279864	19.8516911404524	0.0222	-9999	2885.561	737.411804055788
32.665425	33.433	3.39501202272743	59.988175	1099.9625	3	382.347260963855	0.657	0.0001505806625	2648	59.71890644295	104.972743272067	202.552022201613	4.0589287924102	0.009	-9999	560.264	215.167070340124
32.7667	32.27355	3.39501202272743	59.99395	1100.01	3	382.358222732314	0.765	0.000147337435	5663	64.6177687721143	118.730428374071	434.813518045834	19.7633282725651	0.0172	-9999	2928.476	420.259793446248
33.039425	33.979775	3.39501202272743	59.997625	1099.8575	3	382.396166594956	0.455	6.95E-05	2648	50.968269771	68.3763893113	52.3308100756219	6.89346080072964	0.0088	-9999	779.371	455.827338129496
32.91675	33.05645	3.39501202272743	59.994875	1100.0475	3	382.37552066122	0.637	8.26E-05	5663	96.578299121	202.986721385	348.883808554761	16.3030253590423	0.0113	-9999	900.488	492.493946731235
32.39815	32.569925	3.39501202272743	40.001725	1100.0175	3	382.367784739026	0.851	0.000158733594	5663	54.9466000838	107.505245377333	289.239908276419	17.3547339336709	0.0226	1.157	1292.925	512.556907140904
32.394375	32.71205	3.39501202272743	39.99735	1099.885	3	382.346477931707	0.723	0.0001083790625	5663	69.8403720418334	128.279780175	251.811417187877	9.12897828267326	0.0207	1.377	2885.561	687.586682160127
32.69755	33.80165	3.39501202272743	39.998025	1099.955	3	382.343664022694	0.657	0.0001505806625	2648	59.71890644295	104.972743272067	209.983758904317	1.93017675456681	0.0094	1.141	560.264	224.73005124413
33.237275	33.0764	3.39501202272743	39.9994	1099.9375	3	382.335569857986	0.765	0.000147337435	5663	64.6177687721143	118.730428374071	304.431757957063	11.1513342531043	0.0183	1.015	2928.476	447.136873259671
33.60655	34.35145	3.39501202272743	40.001125	1100.0025	3	382.36430910001	0.455	6.95E-05	2648	50.968269771	68.3763893113	178.381770040411	5.01909698993471	0.0083	1.032	779.371	429.928057553957
33.43935	33.8271	3.39501202272743	39.9999	1100.0075	3	382.391253939976	0.637	8.26E-05	5663	96.578299121	202.986721385	272.914762134428	6.71726578933405	0.0091	0.955	900.488	396.610169491525
33.769725	32.918275	3.39501202272743	29.999775	1100.005	3	382.365765082687	0.851	0.000158733594	5663	54.9466000838	107.505245377333	226.985038554005	11.4152026789259	0.0243	-9999	1292.925	551.1120727223
33.642225	33.3047	3.39501202272743	30.000625	1099.97	3	382.378172643848	0.723	0.0001083790625	5663	69.8403720418334	128.279780175	203.91552516632	8.16534928067318	0.0185	-9999	2885.561	614.509836713157
33.6548	33.5933	3.39501202272743	29.9996	1100	3	382.36055500297	0.657	0.0001505806625	2648	59.71890644295	104.972743272067	208.671532917448	2.36776054301368	0.0096	-9999	560.264	229.511541696132
33.520475	32.8526	3.39501202272743	29.999775	1099.9225	3	382.333520718085	0.765	0.000147337435	5663	64.6177687721143	118.730428374071	219.784588777534	10.2018385132292	0.0171	-9999	2928.476	417.816422554119
33.667275	33.692825	3.39501202272743	29.9975	1100.0025	3	382.364017983586	0.455	6.95E-05	2648	50.968269771	68.3763893113	164.886486908438	4.73537735011488	0.0078	-9999	779.371	404.028776978417
33.3163	33.3856	3.39501202272743	30.000175	1099.92	3	382.335160652216	0.637	8.26E-05	5663	96.578299121	202.986721385	188.235988843147	5.39211442173423	0.0117	-9999	900.488	509.927360774818
32.64585	32.445275	3.39501202272743	19.999225	1099.9675	3	382.377722462783	0.851	0.000158733594	5663	54.9466000838	107.505245377333	149.162011006946	6.81814802263316	0.0201	1.386	1292.925	455.858134227088
32.62505	32.8789	3.39501202272743	20.000175	1099.8625	3	382.315072206697	0.723	0.0001083790625	5663	69.8403720418334	128.279780175	143.791333490046	3.75893588316934	0.0205	1.377	2885.561	680.943332574039
32.65905	33.3375	3.39501202272743	20.0043	1100.01	3	382.364991931098	0.657	0.0001505806625	2648	59.71890644295	104.972743272067	155.598357698462	0.908632450561986	0.008	1.142	560.264	191.25961808011
32.87925	32.04105	3.39501202272743	19.996725	1100.05	3	382.403795564779	0.765	0.000147337435	5663	64.6177687721143	118.730428374071	151.627056224074	5.04169704875811	0.0172	1.366	2928.476	420.259793446248
